,Resort Name,Continent,Country,State/Province,URL,Altitude,Easy,Intermediate ,Difficult,Aerial tramway/reversible ropeway,Circulating ropeway/gondola lift,Chairlift,T-bar lift/platter/button lift ,Rope tow/baby lift,People mover/Moving Carpet,Adult,Youth,Child,Currency,Ski resort size ,"Slope offering, variety of runs ",Lifts and cable cars ,Snow reliability ,Slope preparation ,"Access, on-site parking ","Orientation (trail map, information boards, sign-postings) ",Cleanliness and hygiene ,Environmentally friendly ski operation ,Friendliness of staff ,"Mountain restaurants, ski huts, gastronomy ",AprÃ¨s-ski ,Accommodation offering directly at the slopes and lifts ,Families and children ,Beginners ,"Advanced skiers, freeriders ",Snow parks ,Cross-country skiing and trails ,Sunkid Moving Carpet,Combined installation (gondola and chair),People mover,Funicular,Snow caterpillars for Cat-skiing,Cog railway,Helicopter for Heli-skiing,Ski routes
10,almenwelt-lofer,Europe,Austria,Salzburg (Salzburger Land),https://www.skiresort.info/ski-resort/almenwelt-lofer/,1670.0,32.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,37.5,23.5,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,obertauern,Europe,Austria,Salzburg (Salzburger Land),https://www.skiresort.info/ski-resort/obertauern/,2313.0,61.0,35.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,37.5,25.0,European Euro,4.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,5.0,5.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,aletsch-arena-riederalpbettmeralpfiesch-eggishorn,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/aletsch-arena-riederalpbettmeralpfiesch-eggishorn/,2869.0,42.0,50.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,66.0,0.0,0.0,Swiss Franc,4.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,5.0,5.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,carezza-ski,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/carezza-ski/,2337.0,19.0,16.2,4.8,0.0,0.0,0.0,0.0,0.0,0.0,52.0,38.0,22.0,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,5.0,4.0,4.0,3.0,4.0,5.0,5.0,4.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,kitzski-kitzbuehelkirchberg,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/kitzski-kitzbuehelkirchberg/,2000.0,102.0,66.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,59.5,44.0,29.5,European Euro,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,val-gardena-groeden,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/val-gardena-groeden/,2518.0,52.0,105.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,43.0,43.0,European Euro,5.0,5.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,5.0,5.0,4.0,5.0,5.0,4.0,4.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,grossglockner-resort-kals-matrei,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/grossglockner-resort-kals-matrei/,2422.0,9.5,24.5,10.6,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,26.0,European Euro,3.0,5.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0,5.0,4.0,5.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,gitschberg-jochtal,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/gitschberg-jochtal/,2510.0,18.5,27.2,9.3,0.0,0.0,0.0,0.0,0.0,0.0,54.0,38.0,0.0,European Euro,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,sillian-thurntaler-hochpustertal,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/sillian-thurntaler-hochpustertal/,2407.0,5.6,15.0,1.1,0.0,0.0,0.0,0.0,0.0,0.0,52.0,26.0,26.0,European Euro,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,saalbach-hinterglemm-leogang-fieberbrunn-skicircus,Europe,Austria,Salzburg (Salzburger Land),https://www.skiresort.info/ski-resort/saalbach-hinterglemm-leogang-fieberbrunn-skicircus/,2096.0,140.0,112.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,60.5,45.0,30.0,European Euro,5.0,5.0,5.0,4.0,5.0,3.0,5.0,5.0,4.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,belpiano-schoenebenmalga-san-valentino-haideralm,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/belpiano-schoenebenmalga-san-valentino-haideralm/,2390.0,29.0,30.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,37.0,29.5,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,damuels-mellau,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/damuels-mellau/,2050.0,29.9,48.8,1.9,0.0,0.0,0.0,0.0,0.0,0.0,55.5,52.0,32.0,European Euro,4.0,4.0,5.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,hochoetz-oetz,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/hochoetz-oetz/,2272.0,12.0,21.5,4.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,35.2,24.2,European Euro,3.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,steinplattewinklmoosalm-waidringreit-im-winkl,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/steinplattewinklmoosalm-waidringreit-im-winkl/,1860.0,18.0,22.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,38.0,26.0,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,st-jakob-im-defereggental-brunnalm,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/st-jakob-im-defereggental-brunnalm/,2525.0,4.7,11.1,1.2,0.0,0.0,0.0,0.0,0.0,0.0,52.0,0.0,26.0,European Euro,3.0,4.0,4.0,5.0,5.0,2.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,kleine-scheideggmaennlichen-grindelwaldwengen,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/kleine-scheideggmaennlichen-grindelwaldwengen/,2400.0,33.0,56.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,0.0,33.0,Swiss Franc,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,wildkogel-neukirchenbramberg,Europe,Austria,Salzburg (Salzburger Land),https://www.skiresort.info/ski-resort/wildkogel-neukirchenbramberg/,2150.0,35.0,30.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,42.0,25.5,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,5.0,5.0,5.0,4.0,5.0,5.0,5.0,4.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,nauders-am-reschenpass-bergkastel,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/nauders-am-reschenpass-bergkastel/,2750.0,25.0,36.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,37.0,29.5,European Euro,3.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,lermoos-grubigstein,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/lermoos-grubigstein/,2100.0,14.4,10.2,1.9,0.0,0.0,0.0,0.0,0.0,0.0,52.0,41.5,26.0,European Euro,3.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,2.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,arber,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/arber/,1456.0,4.5,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,34.0,26.0,European Euro,2.0,3.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,4.0,4.0,3.0,2.0,5.0,5.0,3.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,kristberg-silbertal,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/kristberg-silbertal/,1589.0,1.8,1.2,4.1,0.0,0.0,0.0,0.0,0.0,0.0,40.5,23.3,23.3,European Euro,2.0,2.0,2.0,3.0,5.0,4.0,4.0,5.0,4.0,4.0,3.0,1.0,3.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,fichtelberg-oberwiesenthal,Europe,Germany,Saxony (Sachsen),https://www.skiresort.info/ski-resort/fichtelberg-oberwiesenthal/,1215.0,6.8,6.1,2.6,0.0,0.0,0.0,0.0,0.0,0.0,35.0,0.0,25.0,European Euro,2.0,3.0,3.0,3.0,4.0,3.0,4.0,4.0,3.0,4.0,3.0,3.0,4.0,4.0,3.0,2.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,elm-im-sernftal,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/elm-im-sernftal/,2105.0,15.0,20.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,38.0,26.0,Swiss Franc,3.0,4.0,3.0,4.0,5.0,4.0,3.0,4.0,3.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,ehrwalder-wettersteinbahnen-ehrwald,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/ehrwalder-wettersteinbahnen-ehrwald/,1530.0,15.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,41.5,26.0,European Euro,2.0,3.0,4.0,3.0,4.0,4.0,4.0,5.0,4.0,4.0,4.0,2.0,3.0,5.0,5.0,2.0,3.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,ponte-di-legnotonalepresena-glaciertemu-pontedilegno-tonale,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/ponte-di-legnotonalepresena-glaciertemu-pontedilegno-tonale/,3000.0,24.0,61.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,38.0,26.0,European Euro,4.0,5.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
35,axamer-lizum,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/axamer-lizum/,2340.0,7.0,22.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,44.5,35.5,26.5,European Euro,3.0,4.0,3.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,5.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,sonnenkopf-kloesterle,Europe,Austria,Vorarlberg,https://www.skiresort.info/ski-resort/sonnenkopf-kloesterle/,2300.0,12.8,15.9,0.8,0.0,0.0,0.0,0.0,0.0,0.0,46.0,38.0,26.5,European Euro,3.0,4.0,3.0,4.0,3.0,5.0,4.0,4.0,4.0,4.0,3.0,3.0,1.0,4.0,5.0,4.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,ofterschwanggunzesried-ofterschwanger-horn,Europe,Germany,Bavaria (Bayern),https://www.skiresort.info/ski-resort/ofterschwanggunzesried-ofterschwanger-horn/,1405.0,4.6,9.2,2.7,0.0,0.0,0.0,0.0,0.0,0.0,45.0,35.0,21.0,European Euro,2.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,4.0,2.0,3.0,4.0,3.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,klausberg-skiworld-ahrntal,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/klausberg-skiworld-ahrntal/,2510.0,14.0,14.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,33.0,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,speikboden-skiworld-ahrntal,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/speikboden-skiworld-ahrntal/,2400.0,21.8,12.7,5.7,0.0,0.0,0.0,0.0,0.0,0.0,51.0,0.0,33.0,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,5.0,4.0,4.0,4.0,2.0,5.0,4.0,4.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,scuol-motta-naluns,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/scuol-motta-naluns/,2785.0,27.0,32.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,48.0,30.0,Swiss Franc,4.0,4.0,5.0,5.0,5.0,3.0,5.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,4.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,schilthorn-muerrenlauterbrunnen,Europe,Switzerland,Espace Mittelland,https://www.skiresort.info/ski-resort/schilthorn-muerrenlauterbrunnen/,2970.0,19.0,23.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,60.0,38.0,Swiss Franc,3.0,5.0,3.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,2.0,4.0,4.0,4.0,5.0,5.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,galsterberg-pruggern,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/galsterberg-pruggern/,1984.0,4.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,53.5,40.0,27.0,European Euro,2.2,2.4,2.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,paganella-andalo,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/paganella-andalo/,2125.0,11.0,27.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,52.0,36.0,26.0,European Euro,3.0,4.0,5.0,5.0,5.0,4.0,4.0,4.0,4.0,5.0,5.0,3.0,4.0,5.0,4.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,ramsau-am-dachstein-rittisberg,Europe,Austria,Styria (Steiermark),https://www.skiresort.info/ski-resort/ramsau-am-dachstein-rittisberg/,1636.0,5.6,6.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,41.5,31.5,21.0,European Euro,2.0,2.0,2.0,3.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,2.0,4.0,5.0,5.0,2.0,2.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
45,glungezer-tulfes,Europe,Austria,Tyrol (Tirol),https://www.skiresort.info/ski-resort/glungezer-tulfes/,2304.0,6.5,15.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0,30.0,24.5,European Euro,3.0,3.0,4.0,4.0,5.0,5.0,3.0,5.0,4.0,4.0,4.0,2.0,2.0,4.0,4.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,monte-bondone,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/monte-bondone/,2090.0,4.8,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,31.0,22.0,European Euro,3.0,3.0,4.0,4.0,5.0,3.0,4.0,4.0,4.0,4.0,4.0,3.0,4.0,4.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,san-martino-di-castrozza,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/san-martino-di-castrozza/,2357.0,16.0,32.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,37.0,0.0,European Euro,3.0,4.0,4.0,5.0,5.0,2.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,hohsaas-saas-grund,Europe,Switzerland,Lemanic Region,https://www.skiresort.info/ski-resort/hohsaas-saas-grund/,3200.0,12.0,21.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,59.0,47.5,36.5,Swiss Franc,3.0,4.0,4.0,5.0,5.0,3.0,4.0,4.0,4.0,4.0,3.0,3.0,3.0,4.0,4.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,flumserberg,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/flumserberg/,2222.0,14.0,40.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,44.0,33.5,Swiss Franc,4.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,5.0,4.0,5.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,turracher-hoehe,Europe,Austria,Carinthia (KÃ¤rnten),https://www.skiresort.info/ski-resort/turracher-hoehe/,2205.0,14.5,25.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,51.0,41.5,26.0,European Euro,3.0,4.0,5.0,5.0,5.0,3.0,4.0,5.0,4.0,5.0,4.0,3.0,5.0,5.0,4.0,3.0,5.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,wildhaus-gamserrugg-toggenburg,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/wildhaus-gamserrugg-toggenburg/,2076.0,3.0,17.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,55.0,47.0,28.0,Swiss Franc,3.0,3.0,4.0,4.0,5.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,5.0,4.0,3.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,pejo-3000,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/pejo-3000/,3000.0,5.0,12.8,2.2,0.0,0.0,0.0,0.0,0.0,0.0,48.0,34.0,24.0,European Euro,3.0,4.0,3.0,5.0,5.0,3.0,4.0,4.0,5.0,4.0,4.0,2.0,3.0,4.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,pizol-bad-ragazwangs,Europe,Switzerland,Eastern Switzerland,https://www.skiresort.info/ski-resort/pizol-bad-ragazwangs/,2227.0,15.5,21.5,13.0,0.0,0.0,0.0,0.0,0.0,0.0,57.0,37.0,28.5,Swiss Franc,3.0,4.0,4.0,4.0,4.0,4.0,4.0,5.0,4.0,5.0,4.0,3.0,3.0,4.0,4.0,4.0,4.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,ladurns,Europe,Italy,Trentino-Alto Adige (Trentino-SÃ¼dtirol),https://www.skiresort.info/ski-resort/ladurns/,2030.0,8.4,8.4,1.2,0.0,0.0,0.0,0.0,0.0,0.0,42.0,0.0,30.0,European Euro,2.0,4.0,5.0,4.0,5.0,4.0,4.0,5.0,4.0,4.0,4.0,3.0,3.0,4.0,5.0,3.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
